import time: self [us] | cumulative | imported package
import time:    749605 |     749605 |                           openai.types.beta.threads.runs.function_tool_call
import time:    824958 |     824958 |                           openai.types.beta.threads.runs.file_search_tool_call
import time:    798708 |     798708 |                           openai.types.beta.threads.runs.code_interpreter_tool_call
import time:    775111 |    3148380 |                         openai.types.beta.threads.runs.tool_call
import time:    780388 |    3928768 |                       openai.types.beta.threads.runs.tool_calls_step_details
import time:    838409 |     838409 |                       openai.types.beta.threads.runs.message_creation_step_details
import time:    812908 |    5580084 |                     openai.types.beta.threads.runs.run_step
import time:    817946 |     817946 |                           openai.types.beta.threads.runs.function_tool_call_delta
import time:    782876 |     782876 |                           openai.types.beta.threads.runs.file_search_tool_call_delta
import time:    857006 |     857006 |                             openai.types.beta.threads.runs.code_interpreter_logs
import time:    828491 |     828491 |                             openai.types.beta.threads.runs.code_interpreter_output_image
import time:    793699 |    2479195 |                           openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:    868612 |    4948628 |                         openai.types.beta.threads.runs.tool_call_delta
import time:    774783 |    5723411 |                       openai.types.beta.threads.runs.tool_call_delta_object
import time:    810779 |     810779 |                       openai.types.beta.threads.runs.run_step_delta_message_delta
import time:    991713 |    7525902 |                     openai.types.beta.threads.runs.run_step_delta
import time:    791786 |     791786 |                     openai.types.beta.threads.runs.run_step_include
import time:    806409 |     806409 |                     openai.types.beta.threads.runs.step_list_params
import time:    773655 |     773655 |                     openai.types.beta.threads.runs.run_step_delta_event
import time:    834310 |     834310 |                     openai.types.beta.threads.runs.step_retrieve_params
import time:    824686 |   17136829 |                   openai.types.beta.threads.runs
import time:       254 |   17137083 |                 openai.types.beta.threads.runs.run_step_include
import time:    783881 |     783881 |                   openai.types.beta.threads.text_content_block_param
import time:    842784 |     842784 |                   openai.types.beta.threads.image_url_content_block_param
import time:    869193 |     869193 |                   openai.types.beta.threads.image_file_content_block_param
import time:    857230 |    3353086 |                 openai.types.beta.threads.message_content_part_param
import time:    779199 |     779199 |                     openai.types.beta.assistant_tool_choice_function_param
import time:    931163 |    1710362 |                   openai.types.beta.assistant_tool_choice_param
import time:    789676 |    2500038 |                 openai.types.beta.assistant_tool_choice_option_param
import time:    918372 |     918372 |                 openai.types.beta.assistant_response_format_option_param
import time:    761235 |   24669812 |               openai.types.beta.threads.run_create_params
import time:    845468 |     845468 |               openai.types.beta.threads.run_update_params
import time:    866088 |     866088 |               openai.types.beta.threads.message_delta_event
import time:    785039 |     785039 |               openai.types.beta.threads.message_list_params
import time:    792539 |     792539 |               openai.types.beta.threads.message_create_params
import time:    759328 |     759328 |               openai.types.beta.threads.message_update_params
import time:    802508 |     802508 |               openai.types.beta.threads.run_submit_tool_outputs_params
import time:    793082 |   58892329 |             openai.types.beta.threads
import time:        90 |   58892419 |           openai.types.beta.threads.message_content_part_param
import time:    785394 |   59677813 |         openai.types.beta.thread_create_params
import time:    866025 |     866025 |         openai.types.beta.thread_update_params
import time:    905129 |     905129 |         openai.types.beta.assistant_list_params
import time:    834799 |     834799 |         openai.types.beta.assistant_stream_event
import time:    925327 |     925327 |         openai.types.beta.assistant_create_params
import time:    749803 |     749803 |         openai.types.beta.assistant_update_params
import time:    835310 |     835310 |         openai.types.beta.thread_create_and_run_params
import time:    750463 |   77446461 |       openai.types.beta
import time:    986261 |   78432721 |     openai.lib.streaming._assistants
import time:    601445 |   79034165 |   openai.lib.streaming
import time:    813239 |     813239 |   openai._module_client
import time:      2313 |  333560600 | openai
import time:   1027908 |    1027908 |   elevenlabs
import time:    917040 |     917040 |       elevenlabs.core
import time:    793387 |     793387 |         elevenlabs.core.file
import time:    803268 |     803268 |         elevenlabs.core.force_multipart
import time:    748849 |     748849 |           elevenlabs.core.datetime_utils
import time:    868097 |     868097 |                       pydantic.v1.typing
import time:    849013 |    1717110 |                     pydantic.v1.errors
import time:       428 |        428 |                         cython
import time:    812936 |     813363 |                       pydantic.v1.version
import time:    855000 |    1668363 |                     pydantic.v1.utils
import time:    829913 |    4215384 |                   pydantic.v1.class_validators
import time:    998261 |     998261 |                   pydantic.v1.config
import time:      1479 |       1479 |                         colorsys
import time:    810852 |     812330 |                       pydantic.v1.color
import time:    753953 |     753953 |                           pydantic.v1.datetime_parse
import time:   1021101 |    1775054 |                         pydantic.v1.validators
import time:    626025 |    2401078 |                       pydantic.v1.networks
import time:   1000374 |    1000374 |                       pydantic.v1.types
import time:    772011 |    4985790 |                     pydantic.v1.json
import time:    787785 |    5773575 |                   pydantic.v1.error_wrappers
import time:    879176 |     879176 |                   pydantic.v1.fields
import time:    793972 |     793972 |                     pydantic.v1.parse
import time:    618861 |     618861 |                     pydantic.v1.schema
import time:    854252 |    2267083 |                   pydantic.v1.main
import time:    837049 |   14970526 |                 pydantic.v1.dataclasses
import time:   1013036 |    1013036 |                 pydantic.v1.annotated_types
import time:    920770 |     920770 |                 pydantic.v1.decorator
import time:   1109112 |    1109112 |                 pydantic.v1.env_settings
import time:   1166063 |    1166063 |                 pydantic.v1.tools
import time:    816272 |   19995777 |               pydantic.v1
import time:        92 |   19995869 |             pydantic.v1.datetime_parse
import time:    817792 |     817792 |             elevenlabs.core.serialization
import time:   2404657 |   23218317 |           elevenlabs.core.pydantic_utilities
import time:    871504 |   24838668 |         elevenlabs.core.jsonable_encoder
import time:    801104 |     801104 |         elevenlabs.core.query_encoder
import time:    949065 |     949065 |         elevenlabs.core.remove_none_from_dict
import time:    833837 |     833837 |         elevenlabs.core.request_options
import time:    790376 |   29809703 |       elevenlabs.core.http_client
import time:    819670 |   31546412 |     elevenlabs.core.client_wrapper
import time:    890836 |     890836 |     elevenlabs.environment
import time:    880806 |     880806 |       elevenlabs.core.api_error
import time:    836800 |     836800 |       elevenlabs.core.http_response
import time:    794199 |    2511804 |     elevenlabs.raw_base_client
import time:    844301 |   35793352 |   elevenlabs.base_client
import time:    783903 |     783903 |       elevenlabs.music
import time:    892100 |     892100 |         elevenlabs.types
import time:    636819 |    1528918 |       elevenlabs.types.allowed_output_formats
import time:    773417 |     773417 |         elevenlabs.core.unchecked_base_model
import time:    773393 |     773393 |             elevenlabs.types.time_range
import time:    754392 |    1527785 |           elevenlabs.types.section_source
import time:    767448 |    2295233 |         elevenlabs.types.song_section
import time:   1012393 |    4081042 |       elevenlabs.types.music_prompt
import time:    925942 |     925942 |       elevenlabs.types.music_upload_response
import time:    906453 |     906453 |           elevenlabs.errors
import time:    801876 |    1708328 |         elevenlabs.errors.forbidden_error
import time:    798410 |     798410 |         elevenlabs.errors.unprocessable_entity_error
import time:    646363 |     646363 |           elevenlabs.music.types
import time:   1036723 |    1683085 |         elevenlabs.music.types.music_separate_stems_request_stem_variation_id
import time:    942099 |    5131921 |       elevenlabs.music.raw_client
import time:    819762 |   13271485 |     elevenlabs.music.client
import time:    743474 |   14014959 |   elevenlabs.music_custom
import time:    590136 |     590136 |       websockets.imports
import time:    948923 |     948923 |       websockets.version
import time:    836451 |    2375508 |     websockets
import time:    785833 |     785833 |       websockets.sync
import time:    858346 |     858346 |         websockets.datastructures
import time:    852749 |     852749 |             websockets.typing
import time:    604909 |     604909 |             websockets.speedups
import time:    836271 |     836271 |               websockets.extensions.base
import time:   1047792 |    1884062 |             websockets.extensions
import time:    838444 |    4180163 |           websockets.frames
import time:    807113 |     807113 |           websockets.http11
import time:    756025 |    5743299 |         websockets.exceptions
import time:    773109 |     773109 |         websockets.headers
import time:    784690 |     784690 |           websockets.streams
import time:    762805 |    1547494 |         websockets.protocol
import time:    823904 |     823904 |         websockets.uri
import time:    707754 |     707754 |         websockets.utils
import time:    783875 |   11237778 |       websockets.client
import time:    707101 |     707101 |       websockets.extensions.permessage_deflate
import time:    855944 |     855944 |       websockets.proxy
import time:      3115 |       3115 |             _queue
import time:      1376 |       4490 |           queue
import time:    807780 |     807780 |           websockets.sync.utils
import time:    765468 |    1577737 |         websockets.sync.messages
import time:    758475 |    2336212 |       websockets.sync.connection
import time:       394 |        394 |       python_socks
import time:    865538 |   16788799 |     websockets.sync.client
import time:    857918 |     857918 |     elevenlabs.types.voice_settings
import time:    803537 |     803537 |       elevenlabs.text_to_speech
import time:    824124 |     824124 |         elevenlabs.types.character_alignment_response_model
import time:    806328 |    1630451 |       elevenlabs.types.audio_with_timestamps_response
import time:    732928 |     732928 |       elevenlabs.types.pronunciation_dictionary_version_locator
import time:    726976 |     726976 |       elevenlabs.types.streaming_audio_chunk_with_timestamps_response
import time:    888345 |     888345 |           elevenlabs.text_to_speech.types
import time:    748703 |    1637048 |         elevenlabs.text_to_speech.types.body_text_to_speech_full_apply_text_normalization
import time:    800610 |     800610 |         elevenlabs.text_to_speech.types.body_text_to_speech_full_with_timestamps_apply_text_normalization
import time:    769128 |     769128 |         elevenlabs.text_to_speech.types.body_text_to_speech_stream_apply_text_normalization
import time:    795249 |     795249 |         elevenlabs.text_to_speech.types.body_text_to_speech_stream_with_timestamps_apply_text_normalization
import time:    790844 |     790844 |         elevenlabs.text_to_speech.types.text_to_speech_convert_request_output_format
import time:    795013 |     795013 |         elevenlabs.text_to_speech.types.text_to_speech_convert_with_timestamps_request_output_format
import time:    765343 |     765343 |         elevenlabs.text_to_speech.types.text_to_speech_stream_request_output_format
import time:    731434 |     731434 |         elevenlabs.text_to_speech.types.text_to_speech_stream_with_timestamps_request_output_format
import time:    815350 |    7900016 |       elevenlabs.text_to_speech.raw_client
import time:    875491 |   12669397 |     elevenlabs.text_to_speech.client
import time:    745432 |     745432 |     elevenlabs.url_utils
import time:   1705314 |   35142365 |   elevenlabs.realtime_tts
import time:    860273 |     860273 |               elevenlabs.speech_engine.types
import time:    863270 |    1723543 |             elevenlabs.speech_engine.session
import time:   1013413 |    2736956 |           elevenlabs.speech_engine.server
import time:    576712 |    3313667 |         elevenlabs.speech_engine.resource
import time:    967384 |    4281051 |       elevenlabs.speech_engine
import time:    708223 |     708223 |       elevenlabs.types.agent_call_limits
import time:    734136 |     734136 |       elevenlabs.types.agent_sort_by
import time:    781690 |     781690 |         elevenlabs.types.asr_input_format
import time:    733482 |     733482 |         elevenlabs.types.asr_provider
import time:    908308 |     908308 |         elevenlabs.types.asr_quality
import time:    833297 |    3256776 |       elevenlabs.types.asr_conversational_config
import time:    751481 |     751481 |         elevenlabs.types.spelling_patience
import time:    754835 |     754835 |         elevenlabs.types.turn_eagerness
import time:    749517 |    2255832 |       elevenlabs.types.base_turn_config
import time:    796945 |     796945 |         elevenlabs.types.client_event
import time:    842624 |     842624 |         elevenlabs.types.file_input_config
import time:    877259 |    2516828 |       elevenlabs.types.conversation_config_input
import time:    852836 |     852836 |         elevenlabs.types.speech_engine_summary_response
import time:   1024507 |    1877343 |       elevenlabs.types.list_speech_engines_response
import time:   1012326 |    1012326 |           elevenlabs.types.config_entity_type
import time:    895941 |    1908267 |         elevenlabs.types.conversation_history_redaction_config
import time:    937478 |    2845745 |       elevenlabs.types.privacy_config_input
import time:    873473 |     873473 |       elevenlabs.types.sort_direction
import time:    907825 |     907825 |           elevenlabs.types.conv_ai_dynamic_variable
import time:   1031985 |    1031985 |           elevenlabs.types.conv_ai_secret_locator
import time:    800413 |    2740222 |         elevenlabs.types.speech_engine_config_request_headers_value
import time:    858406 |    3598628 |       elevenlabs.types.speech_engine_config
import time:    578098 |     578098 |           elevenlabs.types.agent_definition_source
import time:    806668 |    1384766 |         elevenlabs.types.agent_metadata_db_model
import time:   1065213 |    1065213 |         elevenlabs.types.conversation_config_output
import time:    792239 |     792239 |         elevenlabs.types.privacy_config_output
import time:    769806 |     769806 |         elevenlabs.types.speech_engine_conversation_initiation_client_data_config
import time:    775395 |     775395 |           elevenlabs.types.pydantic_pronunciation_dictionary_version_locator
import time:    788875 |     788875 |           elevenlabs.types.suggested_audio_tag
import time:    558055 |     558055 |             elevenlabs.types.tts_model_family
import time:   1037678 |    1037678 |             elevenlabs.types.tts_optimize_streaming_latency
import time:    754872 |    2350603 |           elevenlabs.types.supported_voice
import time:    944245 |     944245 |           elevenlabs.types.text_normalisation_type
import time:    743199 |     743199 |           elevenlabs.types.tts_conversational_model
import time:    782046 |     782046 |           elevenlabs.types.tts_output_format
import time:    761687 |    7146047 |         elevenlabs.types.tts_conversational_config_output
import time:    819544 |   11977611 |       elevenlabs.types.speech_engine_response
import time:    828101 |     828101 |       elevenlabs.types.tts_conversational_config_input
import time:    793387 |     793387 |       elevenlabs.speech_engine.raw_client
import time:    840500 |   37387626 |     elevenlabs.speech_engine.client
import time:    636815 |   38024440 |   elevenlabs.speech_engine_custom
import time:    815213 |     815213 |       elevenlabs.speech_to_text
import time:    835272 |     835272 |         elevenlabs.types.export_options
import time:    820157 |    1655429 |       elevenlabs.types.additional_formats
import time:    869786 |     869786 |           elevenlabs.speech_to_text.types
import time:    847022 |    1716807 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_entity_detection
import time:    780666 |     780666 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_entity_redaction
import time:    806252 |     806252 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_file_format
import time:    860267 |     860267 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_model_id
import time:    852193 |     852193 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_timestamps_granularity
import time:    505484 |     505484 |         elevenlabs.speech_to_text.types.speech_to_text_convert_request_webhook_metadata
import time:    893578 |    6415245 |       elevenlabs.speech_to_text.raw_client
import time:    891377 |    9777263 |     elevenlabs.speech_to_text.client
import time:    772605 |   10549868 |   elevenlabs.speech_to_text_custom
import time:    767003 |  135319891 | elevenlabs.client
Traceback (most recent call last):
  File "/Users/aaravsekhri/Documents/GitHub/bravesprouts/app.py", line 45, in <module>
    from elevenlabs.client import ElevenLabs
  File "/Users/aaravsekhri/Documents/GitHub/bravesprouts/venv/lib/python3.13/site-packages/elevenlabs/client.py", line 11, in <module>
    from .speech_to_text_custom import AsyncSpeechToTextClient, SpeechToTextClient
  File "/Users/aaravsekhri/Documents/GitHub/bravesprouts/venv/lib/python3.13/site-packages/elevenlabs/speech_to_text_custom.py", line 3, in <module>
    from elevenlabs.speech_to_text.client import SpeechToTextClient as AutogeneratedSpeechToTextClient
  File "/Users/aaravsekhri/Documents/GitHub/bravesprouts/venv/lib/python3.13/site-packages/elevenlabs/speech_to_text/client.py", line 11, in <module>
    from .raw_client import AsyncRawSpeechToTextClient, RawSpeechToTextClient
  File "/Users/aaravsekhri/Documents/GitHub/bravesprouts/venv/lib/python3.13/site-packages/elevenlabs/speech_to_text/raw_client.py", line 21, in <module>
    from .types.speech_to_text_convert_request_webhook_metadata import SpeechToTextConvertRequestWebhookMetadata
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 1019, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1115, in get_code
  File "<frozen importlib._bootstrap_external>", line 1215, in get_data
KeyboardInterrupt
