import time: self [us] | cumulative | imported package
import time:       410 |        410 |                 limits.storage.base
import time:       332 |        332 |                 limits.storage.memcached
import time:       501 |        501 |                 limits.storage.memory
import time:       525 |        525 |                 limits.storage.mongodb
import time:       321 |        321 |                   importlib.resources._adapters
import time:       184 |        184 |                       importlib.resources._itertools
import time:       384 |        568 |                     importlib.resources.readers
import time:       176 |        744 |                   importlib.readers
import time:      1388 |       2452 |                 limits.storage.redis
import time:       569 |        569 |                 limits.storage.redis_cluster
import time:       449 |        449 |                 limits.storage.redis_sentinel
import time:       192 |       5425 |               limits.storage
import time:        22 |       5447 |             limits.storage.base
import time:       410 |      22954 |           limits.aio.storage.memcached
import time:       537 |        537 |           limits.aio.storage.memory
import time:       608 |        608 |           limits.aio.storage.mongodb
import time:       681 |        681 |             limits.aio.storage.redis.bridge
import time:       301 |        301 |             limits.aio.storage.redis.coredis
import time:       375 |        375 |             limits.aio.storage.redis.redispy
import time:       206 |        206 |             limits.aio.storage.redis.valkey
import time:       823 |       2384 |           limits.aio.storage.redis
import time:       180 |      37286 |         limits.aio.storage
import time:       441 |        441 |         limits.aio.strategies
import time:       361 |      38088 |       limits.aio
import time:       372 |        372 |       limits.strategies
import time:       298 |      39001 |     limits
import time:       602 |        602 |     ordered_set
import time:       330 |        330 |     flask_limiter._compat
import time:      1407 |       1407 |         typing_extensions
import time:       190 |       1596 |       flask_limiter._typing
import time:       334 |        334 |       flask_limiter.util
import time:      2737 |       4666 |     flask_limiter._limits
import time:       419 |        419 |       flask_limiter.constants
import time:       285 |        704 |     flask_limiter._manager
import time:       147 |        147 |     flask_limiter.errors
import time:       808 |      46256 |   flask_limiter._extension
import time:       230 |      46810 | flask_limiter
import time:        37 |         37 |     brotlicffi
import time:       932 |        932 |       _brotli
import time:       348 |       1279 |     brotli
import time:       463 |        463 |       gzip
import time:        78 |         78 |       backports
import time:      1043 |       1043 |         backports.zstd._zstd
import time:       260 |        260 |           backports.zstd._streams
import time:       448 |        708 |         backports.zstd._zstdfile
import time:       772 |       2522 |       backports.zstd
import time:       386 |       3447 |     flask_compress.compat
import time:       405 |       5167 |   flask_compress.flask_compress
